station_name,operator,line_name,lat,lng,passengers
二月田,九州旅客鉄道,指宿枕崎線,31.25432,130.6301,305.0
古島,沖縄都市モノレール,沖縄都市モノレール線,26.23064,127.70294,3534.0
お台場海浜公園,ゆりかもめ,東京臨海新交通臨海線,35.629805000000005,139.77853,8535.0
東京国際クルーズターミナル,ゆりかもめ,東京臨海新交通臨海線,35.621357445,139.77310318000002,1984.0
テレコムセンター,ゆりかもめ,東京臨海新交通臨海線,35.617725,139.77966500000002,7631.0
汐留,ゆりかもめ,東京臨海新交通臨海線,35.662985,139.760075,4056.0
台場,ゆりかもめ,東京臨海新交通臨海線,35.625870000000006,139.77137499999998,8143.0
有明,ゆりかもめ,東京臨海新交通臨海線,35.63455,139.79334,5256.0
東京ビッグサイト,ゆりかもめ,東京臨海新交通臨海線,35.63021,139.7913,7671.0
新橋,ゆりかもめ,東京臨海新交通臨海線,35.66558333333333,139.75958666666668,31169.0
竹芝,ゆりかもめ,東京臨海新交通臨海線,35.654065,139.762015,3018.0
芝浦ふ頭,ゆりかもめ,東京臨海新交通臨海線,35.64222,139.75787,3756.0
日の出,ゆりかもめ,東京臨海新交通臨海線,35.64926,139.75916,1584.0
青海,ゆりかもめ,東京臨海新交通臨海線,35.6248,139.781315,3648.0
新豊洲,ゆりかもめ,東京臨海新交通臨海線,35.64871,139.79011500000001,3519.0
市場前,ゆりかもめ,東京臨海新交通臨海線,35.64569,139.78565,7302.0
有明テニスの森,ゆりかもめ,東京臨海新交通臨海線,35.63998,139.788895,4833.0
豊洲,ゆりかもめ,東京臨海新交通臨海線,35.653705,139.795435,19824.0
新石切,近畿日本鉄道,けいはんな線,34.680096666666664,135.64109666666664,16187.0
長田,近畿日本鉄道,けいはんな線,34.678754999999995,135.591965,1.0
吉田,近畿日本鉄道,けいはんな線,34.680335,135.624515,14389.0
荒本,近畿日本鉄道,けいはんな線,34.678625,135.60499,14024.0
生駒,近畿日本鉄道,けいはんな線,34.6931,135.698055,1.0
学研奈良登美ヶ丘,近畿日本鉄道,けいはんな線,34.726385,135.74916000000002,12410.0
白庭台,近畿日本鉄道,けいはんな線,34.72103,135.71683000000002,8528.0
学研北生駒,近畿日本鉄道,けいはんな線,34.724845,135.72342,5463.0
ポートターミナル,神戸新交通,ポートアイランド線,34.681455,135.20222,523.0
中埠頭,神戸新交通,ポートアイランド線,34.669285,135.21717,2211.0
市民広場,神戸新交通,ポートアイランド線,34.664905000000005,135.21244,8234.0
貿易センター,神戸新交通,ポートアイランド線,34.689365,135.19946,2782.0
三宮,神戸新交通,ポートアイランド線,34.694509999999994,135.195295,52486.0
北埠頭,神戸新交通,ポートアイランド線,34.673564999999996,135.21451,1701.0
南公園,神戸新交通,ポートアイランド線,34.66467,135.21706999999998,4226.0
みなとじま,神戸新交通,ポートアイランド線,34.669065,135.209995,11996.0
中公園,神戸新交通,ポートアイランド線,34.673095,135.20752,5970.0
医療センター,神戸新交通,ポートアイランド線,34.658519999999996,135.21641,12621.0
計算科学センター,神戸新交通,ポートアイランド線,34.65481,135.22153500000002,3492.0
神戸空港,神戸新交通,ポートアイランド線,34.63735,135.228975,4058.0
岩瀬浜,富山地方鉄道,富山港線,36.761269999999996,137.23411,483.0
競輪場前,富山地方鉄道,富山港線,36.75749,137.233945,367.0
東岩瀬,富山地方鉄道,富山港線,36.751945,137.230505,256.0
インテック本社前,富山地方鉄道,富山港線,36.703625,137.21641499999998,273.0
萩浦小学校前,富山地方鉄道,富山港線,36.74803981,137.2283632,252.0
蓮町（馬場記念公園前）,富山地方鉄道,富山港線,36.742215,137.22759000000002,987.0
犬島新町,富山地方鉄道,富山港線,36.735095,137.22663,302.0
城川原,富山地方鉄道,富山港線,36.73113,137.22609999999997,660.0
越中中島,富山地方鉄道,富山港線,36.722195,137.224895,444.0
粟島（大阪屋ショップ前）,富山地方鉄道,富山港線,36.719145,137.22482000000002,633.0
下奥井,富山地方鉄道,富山港線,36.711920000000006,137.22458999999998,434.0
奥田中学校前,富山地方鉄道,富山港線,36.70357,137.22360500000002,350.0
富山駅,富山地方鉄道,富山港線,36.70175475333333,137.21299668666666,2324.0
盛岡,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.701195,141.136375,9448.0
御堂,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.00436,141.23705,56.0
二戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.25983,141.28598499999998,586.0
小鳥谷,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.17111666666667,141.30773666666667,73.0
渋民,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.834745,141.15422999999998,539.0
斗米,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.285606666666666,141.29091333333335,141.0
いわて沼宮内,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.960589999999996,141.21707500000002,724.0
厨川,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.74408,141.12886,2747.0
岩手川口,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.919313333333335,141.19937333333334,228.0
一戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.210374,141.297388,482.0
金田一温泉,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.3230975,141.3038325,185.0
滝沢,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.799,141.149555,2592.0
小繋,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.123104999999995,141.26042,8.0
奥中山高原,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.066155,141.2285,295.0
目時,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,40.352050000000006,141.289575,1.0
好摩,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.87416,141.173675,1415.0
青山,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.72465333333333,141.11829666666665,3009.0
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.783426666666664,141.14864666666668,849.0
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,39.78337500000001,141.1489,1.0
上総中野,いすみ鉄道,いすみ線,35.25004,140.199595,1.0
大多喜,いすみ鉄道,いすみ線,35.286535,140.24383999999998,195.0
東総元,いすみ鉄道,いすみ線,35.259445,140.24763,3.0
上総中川,いすみ鉄道,いすみ線,35.282705,140.28055999999998,10.0
国吉,いすみ鉄道,いすみ線,35.280424999999994,140.31399,73.0
久我原,いすみ鉄道,いすみ線,35.25022,140.24766499999998,9.0
上総東,いすみ鉄道,いすみ線,35.26329,140.344905,24.0
西畑,いすみ鉄道,いすみ線,35.250526666666666,140.21517666666668,4.0
小谷松,いすみ鉄道,いすみ線,35.268975,140.25104,4.0
総元,いすみ鉄道,いすみ線,35.24057,140.24036,11.0
