lat,lng,price_per_sqm
33.89107,130.92894694,96200.0
33.94817611,130.97271111,58300.0
33.94013389,130.96122889,49900.0
33.90935889,130.94049,76000.0
33.94478111,131.00751111,25800.0
33.87317694,130.97506,32800.0
33.945275,130.970075,59800.0
33.95335194,130.99095,26000.0
33.93018722,130.94694083,27900.0
33.89979111,130.934625,106000.0
33.92591611,130.97621694,30600.0
33.91404806,130.94169,49600.0
33.86738111,130.96387,33100.0
33.9561,130.96591389,37000.0
33.92105222,130.94353889,44900.0
33.88498111,130.93155806,54700.0
33.936965,130.97174306,36300.0
33.909565,130.97978806,20600.0
33.87787111,130.97838806,21600.0
33.90217301,130.92912049,84600.0
33.90684946,130.93831819,91000.0
33.94791,130.96715889,70300.0
33.94431611,130.96454806,139000.0
33.90837142,130.93689702,97900.0
33.90379,130.9357,162000.0
33.90374389,130.93401194,189000.0
33.88884111,130.92324111,91500.0
33.94529658,130.96680704,115000.0
33.94826556,130.96649806,116000.0
33.89297389,130.92819806,131000.0
33.91042,130.93416194,63500.0
33.85648953,130.98779259,16000.0
33.959403,130.98704664,17600.0
33.87121961,130.98260629,28300.0
33.89937111,130.92196306,39200.0
33.964715,130.99768389,33700.0
33.90548389,130.80379889,62500.0
33.90274694,130.79339806,18900.0
33.90761611,130.79532194,34600.0
33.90098306,130.743785,41300.0
33.89294111,130.77135889,39600.0
33.91691069,130.78768626,36100.0
33.91366889,130.79959611,45700.0
33.91335869,130.79166668,45800.0
33.90808639,130.8096025,58300.0
33.90133611,130.80313306,48000.0
33.91314694,130.704785,24000.0
33.88984611,130.751695,45000.0
33.89723111,130.69153306,50200.0
33.91830194,130.79155694,44000.0
33.93223,130.68766611,16100.0
33.91194889,130.80769306,44800.0
33.89584659,130.79899623,44700.0
33.90397611,130.80942806,71800.0
33.89372111,130.79877111,62700.0
33.90434889,130.81024,65000.0
33.91594528,130.79143389,50100.0
33.90286194,130.80855194,90300.0
33.90629806,130.81073694,70700.0
33.89528306,130.737605,65500.0
33.91613,130.80499,23500.0
33.93489806,130.81208694,21800.0
33.89036075,130.773696,27500.0
33.88405082,130.75213986,31800.0
33.92249526,130.81366032,21800.0
33.88916194,130.83396389,114000.0
33.88716806,130.81866,35600.0
33.89146194,130.82977,112000.0
33.89832806,130.84595611,80700.0
33.88028889,130.831505,63000.0
33.89275382,130.84467335,85500.0
33.89879389,130.81899806,65900.0
33.89621864,130.82344372,85000.0
33.89861889,130.82878889,115000.0
33.89436611,130.82296,123000.0
33.89477111,130.83272694,128000.0
33.90052306,130.81878194,71100.0
33.89611194,130.82193389,157000.0
33.88072111,130.83452611,76500.0
33.89584657,130.81344659,37000.0
33.9022924,130.83965771,43700.0
33.88812806,130.91050389,51900.0
33.85308694,130.86824389,40700.0
33.87623889,130.90216611,50900.0
33.88179111,130.895465,62400.0
33.86478738,130.90059872,94900.0
33.85856111,130.89960389,58600.0
33.884605,130.86475111,79500.0
33.87595611,130.89492111,57200.0
33.88852194,130.84780889,109000.0
33.88803694,130.85942694,91600.0
33.86856889,130.892285,92500.0
33.870105,130.86141611,75000.0
33.885125,130.90602889,70300.0
33.88181389,130.84725306,77300.0
33.86969306,130.873515,70400.0
33.86774694,130.84731306,55200.0
33.86687111,130.87743389,83900.0
33.85359611,130.89673889,61000.0
33.86559889,130.85500611,48300.0
33.86186861,130.867805,40200.0
33.88399389,130.879845,658000.0
33.88246222,130.88245417,272000.0
33.87697,130.85709,166000.0
33.88661389,130.84444889,118000.0
33.85797194,130.88870694,140000.0
33.87795889,130.88789889,242000.0
33.87890694,130.87756,153000.0
33.88021111,130.88752389,252000.0
33.87060602,130.88408917,149000.0
33.87809611,130.87964306,333000.0
33.88381,130.88353611,608000.0
33.88651083,130.87577361,435000.0
33.88510856,130.88111403,550000.0
33.86727806,130.88051,226000.0
33.87251306,130.85760194,189000.0
33.88501694,130.87893806,237000.0
33.86561194,130.88964306,125000.0
33.88899111,130.88088389,250000.0
33.89890781,130.85407333,71400.0
33.88570972,130.88152583,1100000.0
33.90850389,130.87178194,44800.0
33.892705,130.900065,40700.0
33.851695,130.88947611,79400.0
33.82294236,130.85965953,54300.0
33.84052694,130.89313694,54000.0
33.82476806,130.91776306,44000.0
33.83298389,130.939235,67800.0
33.83040194,130.92549889,61000.0
33.80732694,130.87280806,40200.0
33.84597111,130.89470611,52100.0
33.82575806,130.903545,52600.0
33.84735111,130.90646806,66200.0
33.82439392,130.86789037,64800.0
33.85669194,130.95115694,40600.0
33.83815889,130.881015,62800.0
33.81209611,130.86024306,45700.0
33.82604389,130.86350806,85800.0
33.80094306,130.96606194,47800.0
33.839635,130.90512806,59400.0
33.83187,130.87544694,84000.0
