lat,lng,price_per_sqm
34.725005,135.524715,201000.0
34.71339806,135.53444611,300000.0
34.70975,135.53287194,344000.0
34.70062611,135.52604389,322000.0
34.70401389,135.53295389,326000.0
34.70400177,135.52338381,347000.0
34.71533,135.53254,330000.0
34.70743528,135.53106806,340000.0
34.69675611,135.53051806,693000.0
34.69323111,135.52708611,553000.0
34.69733111,135.52760194,559000.0
34.69084083,135.48037389,340000.0
34.69621083,135.48262111,345000.0
34.69904667,135.47278306,299000.0
34.68401306,135.47157889,301000.0
34.68863889,135.47189694,387000.0
34.68662368,135.47500125,338000.0
34.69135306,135.48560611,1250000.0
34.69222083,135.47551361,326000.0
34.69262694,135.47411639,848000.0
34.70132806,135.488275,1280000.0
34.69995333,135.48691694,1760000.0
34.69842583,135.47789917,774000.0
34.69183306,135.46885889,606000.0
34.69378389,135.478065,1260000.0
34.69749389,135.48574306,699000.0
34.68413111,135.46647306,268000.0
34.68142,135.44820806,194000.0
34.68211889,135.43365111,143000.0
34.68198,135.456725,221000.0
34.68814306,135.45508,190000.0
34.67905972,135.45136306,185000.0
34.684895,135.45576111,241000.0
34.68249,135.46525611,417000.0
34.66287306,135.40433806,111000.0
34.67490333,135.48279111,798000.0
34.67452944,135.47658889,326000.0
34.67916111,135.49485611,1400000.0
34.682875,135.49181194,1790000.0
34.67606694,135.47526806,610000.0
34.68773056,135.49317694,1110000.0
34.67321111,135.49486806,1630000.0
34.68562889,135.48854611,1150000.0
34.67295611,135.48372111,819000.0
34.67939806,135.49019111,910000.0
34.68951694,135.49634389,3740000.0
34.67253889,135.49156806,1230000.0
34.67781528,135.472685,332000.0
34.67152,135.49683806,2550000.0
34.68758694,135.49184806,2150000.0
34.68311889,135.48418111,1120000.0
34.67313889,135.49269194,1900000.0
34.67594583,135.47031167,337000.0
34.68237389,135.49637694,2200000.0
34.67100889,135.47370694,360000.0
34.67783694,135.48852694,1270000.0
34.66382889,135.45614306,280000.0
34.66017806,135.45240611,255000.0
34.66830889,135.46725306,280000.0
34.65824,135.44227194,213000.0
34.66579389,135.44907194,220000.0
34.67151306,135.46422306,296000.0
34.66526389,135.46946611,206000.0
34.65141611,135.43268111,183000.0
34.67036694,135.45781611,452000.0
34.67018889,135.46499611,518000.0
34.657445,135.44536194,208000.0
34.661425,135.45427111,368000.0
34.65547889,135.45522389,116000.0
34.67366,135.45637806,225000.0
34.63904611,135.47181889,167000.0
34.65140889,135.46882111,185000.0
34.65526389,135.47476389,195000.0
34.65747389,135.47635306,212000.0
34.656455,135.47087694,195000.0
34.66536792,135.47880502,373000.0
34.65153889,135.46318611,94500.0
34.63957694,135.47755306,76300.0
34.64509611,135.46785889,139000.0
34.654585,135.512395,430000.0
34.65659889,135.52237194,697000.0
34.66034194,135.52756694,444000.0
34.668045,135.52818389,487000.0
34.6536,135.52243389,509000.0
34.66212611,135.51601389,954000.0
34.64939,135.5193,546000.0
34.66005139,135.51705,658000.0
34.66073806,135.51810611,1020000.0
34.66671194,135.51961194,1360000.0
34.67423,135.53231889,930000.0
34.67220306,135.53146889,261000.0
34.66591639,135.49315861,445000.0
34.66048889,135.49746194,1130000.0
34.65325111,135.50616611,537000.0
34.65921328,135.50618842,1220000.0
34.66077681,135.50899117,505000.0
34.65362306,135.50410389,324000.0
34.66840333,135.48318083,692000.0
34.6602075,135.49045694,453000.0
34.66164056,135.50509333,830000.0
34.65467611,135.49966694,604000.0
34.66587306,135.488355,576000.0
34.66556972,135.48264806,245000.0
34.70703694,135.46366111,208000.0
34.703905,135.42903889,128000.0
34.70509306,135.46221389,174000.0
34.70126111,135.44041111,150000.0
34.71305,135.44757111,181000.0
34.7025,135.44765694,171000.0
34.717045,135.46402611,188000.0
34.707875,135.443875,184000.0
34.71858472,135.44760111,133000.0
34.70578389,135.45960389,256000.0
34.71020806,135.45585389,311000.0
34.69793889,135.44703611,137000.0
34.72060972,135.45855111,147000.0
34.71240194,135.43633111,130000.0
34.74145889,135.5168,252000.0
34.76076806,135.54863,200000.0
34.74037889,135.53495806,219000.0
34.76643194,135.54447,165000.0
34.75046611,135.53952389,237000.0
34.735145,135.50845194,199000.0
34.74412889,135.51872194,227000.0
34.75742694,135.53762,215000.0
34.74642194,135.524255,199000.0
34.74357306,135.51039194,199000.0
34.73445194,135.51780389,221000.0
34.747365,135.544285,201000.0
34.75491389,135.54046,194000.0
34.74521111,135.54079111,226000.0
34.73895846,135.51191569,217000.0
34.74264306,135.532345,220000.0
34.73981028,135.54269611,222000.0
34.73986222,135.52903806,218000.0
