lat,lng,price_per_sqm
43.05544889,141.314045,431000.0
43.04180889,141.33939694,210000.0
43.04713,141.34455694,205000.0
43.03636,141.34944306,227000.0
43.04389694,141.31530306,68500.0
43.07595,141.33016611,160000.0
43.02063194,141.34792111,141000.0
43.04091806,141.319415,140000.0
43.05602194,141.30375611,222000.0
43.05665194,141.29476389,126000.0
43.027775,141.34254389,186000.0
43.05254806,141.32271806,300000.0
43.04067694,141.35210389,249000.0
43.06756694,141.32725111,244000.0
43.04967,141.29961111,108000.0
43.03590389,141.32796194,80900.0
43.05255389,141.33189611,249000.0
43.04087326,141.32446302,191000.0
43.06099111,141.30443306,250000.0
43.03701111,141.33931306,223000.0
43.06178893,141.33471556,314000.0
43.04353389,141.33407694,223000.0
43.05488806,141.31880889,750000.0
43.06013,141.32147,330000.0
43.03281111,141.34094389,208000.0
43.03845194,141.33487889,213000.0
43.05860611,141.35213806,6550000.0
43.05357889,141.35357611,1500000.0
43.05932389,141.347825,2700000.0
43.06315194,141.35261389,3500000.0
43.06107111,141.34666111,1160000.0
43.06310855,141.36138574,790000.0
43.05684972,141.32953111,1000000.0
43.06633806,141.35789806,900000.0
43.05772194,141.33589889,815000.0
43.03452724,141.34470847,244000.0
43.05570889,141.34217111,635000.0
43.05826,141.35405806,2300000.0
43.06013889,141.35942111,890000.0
43.06518611,141.33756889,325000.0
43.05075611,141.34273611,280000.0
43.05206694,141.34666806,300000.0
43.04833806,141.35012694,383000.0
43.05026611,141.33554694,303000.0
43.06328042,141.32669156,300000.0
43.05691806,141.36024694,575000.0
43.053805,141.355055,773000.0
43.07105306,141.32335194,209000.0
43.06457306,141.35669889,918000.0
43.06114,141.31950389,565000.0
43.06315306,141.36678389,295000.0
43.04472111,141.35692389,480000.0
43.04270816,141.32552725,246000.0
43.05413889,141.32877889,440000.0
43.06186194,141.31349111,702000.0
43.03124527,141.34920657,241000.0
43.07166389,141.33254111,350000.0
43.04663889,141.32857111,233000.0
43.06675389,141.37017806,308000.0
43.06577111,141.35036889,6600000.0
43.09649194,141.32777806,120000.0
43.10481111,141.34269889,186000.0
43.11292389,141.32081889,92500.0
43.13817306,141.36769611,60000.0
43.15286194,141.36621,51000.0
43.095875,141.34285611,224000.0
43.14148694,141.34681389,64000.0
43.079255,141.34963889,234000.0
43.14605111,141.36850694,63000.0
43.12408306,141.30792389,73800.0
43.129765,141.32520389,70000.0
43.10267,141.30821111,86000.0
43.13168694,141.33933,76000.0
43.08837306,141.34584806,214000.0
43.13054471,141.36355487,76000.0
43.121885,141.32023889,82000.0
43.142485,141.320355,58500.0
43.11493889,141.33133694,127000.0
43.12721611,141.27940194,48000.0
43.09900694,141.31421194,97600.0
43.10278889,141.33160889,128000.0
43.12329694,141.339425,79000.0
43.10946611,141.304895,78000.0
43.13172389,141.38003389,21000.0
43.08444306,141.34215889,190000.0
43.095155,141.34567194,178000.0
43.11231611,141.29713694,69000.0
43.15389389,141.39471611,51000.0
43.14027111,141.35358611,65000.0
43.11179694,141.34105111,198000.0
43.15629,141.39473806,59500.0
43.15591806,141.34936694,36000.0
43.13334111,141.37273389,32500.0
43.16520194,141.35516611,31300.0
43.13325814,141.35214666,71000.0
43.13440686,141.31592093,62500.0
43.11549194,141.33869306,130000.0
43.16360306,141.38495611,46000.0
43.12509267,141.35934741,76000.0
43.16442389,141.41593889,40000.0
43.14709361,141.36123694,68000.0
43.12799278,141.33364806,73300.0
43.13141694,141.31045389,65000.0
43.11579191,141.30906511,72300.0
43.09133611,141.33733806,171000.0
43.12066667,141.30055111,52500.0
43.08997194,141.34362694,400000.0
43.09702111,141.34092306,245000.0
43.10217694,141.31557194,90000.0
43.07076889,141.34812194,1300000.0
43.08148611,141.34739806,350000.0
43.10589,141.33144806,137000.0
43.06944889,141.34952889,3100000.0
43.07735306,141.34851111,334000.0
43.07484194,141.35066111,450000.0
43.07292694,141.35105306,835000.0
43.09709306,141.32449194,130000.0
43.10796889,141.33881611,400000.0
43.11227,141.33309806,205000.0
43.10922889,141.31934111,93800.0
43.13540806,141.33631389,73000.0
43.13169,141.35483694,78000.0
43.11671292,141.34071306,136000.0
43.13078306,141.34693389,75500.0
43.14429611,141.35829889,84500.0
43.0844268,141.37795301,150000.0
43.08932889,141.38722389,107000.0
43.08764389,141.37800806,118000.0
43.08177806,141.3835,125000.0
43.12793694,141.40270306,31000.0
43.11429676,141.36445281,160000.0
43.07528806,141.3588,206000.0
43.12190955,141.35125921,90500.0
43.10918306,141.35427806,107000.0
43.10175389,141.37830889,105000.0
43.10552194,141.35979111,107000.0
43.09618806,141.37543,145000.0
43.10630389,141.37285889,136000.0
43.08240806,141.39359889,90500.0
43.07275889,141.35790611,298000.0
43.10196111,141.41613806,65500.0
43.10952111,141.42026389,57500.0
43.09495889,141.3685,184000.0
43.09324806,141.40881611,77000.0
43.10427,141.38663806,85300.0
43.07525694,141.38900111,89500.0
43.08374111,141.35721389,139000.0
43.07845694,141.37098611,195000.0
43.10165389,141.36355806,129000.0
43.11532622,141.39635277,16800.0
43.09492306,141.35352694,117000.0
43.095755,141.41745306,71000.0
43.11623389,141.34767306,96000.0
43.11299389,141.35832889,110000.0
43.12474389,141.44769806,17200.0
43.09827027,141.39652063,78000.0
43.09036,141.36256389,117000.0
43.09170889,141.39408806,94500.0
43.09356806,141.39997889,88000.0
43.10179722,141.39427111,74000.0
43.08883977,141.35865357,123000.0
43.10853194,141.366225,133000.0
43.08414,141.35183111,175000.0
43.09643566,141.35949629,133000.0
43.07906611,141.36453306,310000.0
43.10544194,141.36859806,214000.0
43.11028694,141.34653806,127000.0
43.07167291,141.35499067,610000.0
43.07250694,141.365425,273000.0
43.10099389,141.40758111,82300.0
